Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,596,2725,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,596,6268,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,596,4661,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,596,4661,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,596,2213,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,596,2452,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,596,56616,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,596,11147,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,596,17431,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,596,30949,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,596,32875,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,250,26799,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,250,1316,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,250,1812,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,250,1068,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,250,1068,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,250,770,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,250,741,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,250,14478,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,250,2935,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,250,4636,3,Maharashtra
PICT,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,250,12669,3,Maharashtra
,,,,,,,,
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,789,1092,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,789,1599,3,Maharashtra
PICT,"Information Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,789,1518,3,Maharashtra
